temperature;year;month;country
-5.0004;1901;1;Slovenia
-4.7414;1901;2;Slovenia
2.97621;1901;3;Slovenia
8.12247;1901;4;Slovenia
12.5008;1901;5;Slovenia
16.7214;1901;6;Slovenia
18.3146;1901;7;Slovenia
17.102;1901;8;Slovenia
13.6187;1901;9;Slovenia
9.86774;1901;10;Slovenia
2.07305;1901;11;Slovenia
1.43088;1901;12;Slovenia
0.96386;1902;1;Slovenia
0.73228;1902;2;Slovenia
3.49404;1902;3;Slovenia
8.62689;1902;4;Slovenia
8.68365;1902;5;Slovenia
14.1754;1902;6;Slovenia
17.2665;1902;7;Slovenia
17.0204;1902;8;Slovenia
13.8633;1902;9;Slovenia
8.91292;1902;10;Slovenia
1.36133;1902;11;Slovenia
-2.2217;1902;12;Slovenia
-2.3087;1903;1;Slovenia
2.14297;1903;2;Slovenia
5.39971;1903;3;Slovenia
4.88325;1903;4;Slovenia
12.3588;1903;5;Slovenia
14.77;1903;6;Slovenia
17.0604;1903;7;Slovenia
17.4615;1903;8;Slovenia
14.0617;1903;9;Slovenia
10.0807;1903;10;Slovenia
4.59635;1903;11;Slovenia
0.5042;1903;12;Slovenia
-1.8207;1904;1;Slovenia
1.9774;1904;2;Slovenia
4.38866;1904;3;Slovenia
8.94905;1904;4;Slovenia
13.0588;1904;5;Slovenia
16.6129;1904;6;Slovenia
19.6772;1904;7;Slovenia
17.7518;1904;8;Slovenia
12.1927;1904;9;Slovenia
9.39433;1904;10;Slovenia
2.79618;1904;11;Slovenia
0.72993;1904;12;Slovenia
-4.7798;1905;1;Slovenia
-0.8918;1905;2;Slovenia
4.63682;1905;3;Slovenia
6.92935;1905;4;Slovenia
11.7926;1905;5;Slovenia
16.0457;1905;6;Slovenia
19.6996;1905;7;Slovenia
18.3677;1905;8;Slovenia
15.6508;1905;9;Slovenia
5.42871;1905;10;Slovenia
4.41231;1905;11;Slovenia
0.82714;1905;12;Slovenia
-1.6799;1906;1;Slovenia
-0.3086;1906;2;Slovenia
3.42019;1906;3;Slovenia
8.07099;1906;4;Slovenia
12.6336;1906;5;Slovenia
15.128;1906;6;Slovenia
17.4977;1906;7;Slovenia
17.4562;1906;8;Slovenia
12.4586;1906;9;Slovenia
9.54713;1906;10;Slovenia
6.10212;1906;11;Slovenia
-2.5412;1906;12;Slovenia
-3.2122;1907;1;Slovenia
-2.363;1907;2;Slovenia
1.29684;1907;3;Slovenia
5.46409;1907;4;Slovenia
13.9539;1907;5;Slovenia
16.8172;1907;6;Slovenia
16.6283;1907;7;Slovenia
18.086;1907;8;Slovenia
14.4502;1907;9;Slovenia
12.7078;1907;10;Slovenia
3.85833;1907;11;Slovenia
0.97742;1907;12;Slovenia
-2.6191;1908;1;Slovenia
0.43204;1908;2;Slovenia
2.14612;1908;3;Slovenia
5.98274;1908;4;Slovenia
15.3511;1908;5;Slovenia
17.821;1908;6;Slovenia
17.7136;1908;7;Slovenia
15.8666;1908;8;Slovenia
12.4324;1908;9;Slovenia
8.8861;1908;10;Slovenia
0.16748;1908;11;Slovenia
-1.946;1908;12;Slovenia
-3.9769;1909;1;Slovenia
-3.2829;1909;2;Slovenia
2.52555;1909;3;Slovenia
8.82575;1909;4;Slovenia
11.6495;1909;5;Slovenia
15.0406;1909;6;Slovenia
16.5331;1909;7;Slovenia
17.5911;1909;8;Slovenia
13.9912;1909;9;Slovenia
10.9034;1909;10;Slovenia
2.46248;1909;11;Slovenia
2.46426;1909;12;Slovenia
-0.3318;1910;1;Slovenia
2.3311;1910;2;Slovenia
4.46862;1910;3;Slovenia
7.2852;1910;4;Slovenia
11.7136;1910;5;Slovenia
16.0411;1910;6;Slovenia
16.1351;1910;7;Slovenia
17.0624;1910;8;Slovenia
12.2081;1910;9;Slovenia
9.78102;1910;10;Slovenia
2.85947;1910;11;Slovenia
3.40747;1910;12;Slovenia
-2.3924;1911;1;Slovenia
-0.6725;1911;2;Slovenia
4.01799;1911;3;Slovenia
7.35933;1911;4;Slovenia
12.1077;1911;5;Slovenia
15.157;1911;6;Slovenia
18.995;1911;7;Slovenia
19.0521;1911;8;Slovenia
15.1463;1911;9;Slovenia
9.46118;1911;10;Slovenia
6.72815;1911;11;Slovenia
2.16178;1911;12;Slovenia
-1.4452;1912;1;Slovenia
3.22222;1912;2;Slovenia
6.25761;1912;3;Slovenia
5.88009;1912;4;Slovenia
12.601;1912;5;Slovenia
16.0717;1912;6;Slovenia
17.6508;1912;7;Slovenia
15.4932;1912;8;Slovenia
9.76816;1912;9;Slovenia
7.48577;1912;10;Slovenia
1.04222;1912;11;Slovenia
0.93955;1912;12;Slovenia
-1.8117;1913;1;Slovenia
-0.9647;1913;2;Slovenia
5.98865;1913;3;Slovenia
7.94245;1913;4;Slovenia
12.0262;1913;5;Slovenia
15.8296;1913;6;Slovenia
14.8675;1913;7;Slovenia
15.5894;1913;8;Slovenia
13.4899;1913;9;Slovenia
10.3419;1913;10;Slovenia
5.96994;1913;11;Slovenia
0.00714;1913;12;Slovenia
-5.4486;1914;1;Slovenia
-0.7275;1914;2;Slovenia
4.54886;1914;3;Slovenia
9.3035;1914;4;Slovenia
11.5348;1914;5;Slovenia
14.6612;1914;6;Slovenia
16.5299;1914;7;Slovenia
17.3987;1914;8;Slovenia
12.8105;1914;9;Slovenia
8.45082;1914;10;Slovenia
2.97774;1914;11;Slovenia
2.15486;1914;12;Slovenia
-0.6501;1915;1;Slovenia
0.45008;1915;2;Slovenia
2.86047;1915;3;Slovenia
7.55459;1915;4;Slovenia
13.5381;1915;5;Slovenia
16.848;1915;6;Slovenia
17.2519;1915;7;Slovenia
15.8462;1915;8;Slovenia
12.0238;1915;9;Slovenia
6.76478;1915;10;Slovenia
1.89306;1915;11;Slovenia
3.98671;1915;12;Slovenia
1.31323;1916;1;Slovenia
0.62998;1916;2;Slovenia
6.39732;1916;3;Slovenia
8.14179;1916;4;Slovenia
13.2264;1916;5;Slovenia
15.4055;1916;6;Slovenia
17.9634;1916;7;Slovenia
17.1739;1916;8;Slovenia
12.3807;1916;9;Slovenia
8.95001;1916;10;Slovenia
5.61585;1916;11;Slovenia
2.89942;1916;12;Slovenia
-1.5435;1917;1;Slovenia
-4.1844;1917;2;Slovenia
1.52386;1917;3;Slovenia
5.48892;1917;4;Slovenia
13.8705;1917;5;Slovenia
18.1165;1917;6;Slovenia
18.2874;1917;7;Slovenia
18.8169;1917;8;Slovenia
16.0395;1917;9;Slovenia
9.32759;1917;10;Slovenia
3.50588;1917;11;Slovenia
-2.1698;1917;12;Slovenia
-0.0069;1918;1;Slovenia
0.10012;1918;2;Slovenia
3.98999;1918;3;Slovenia
9.14099;1918;4;Slovenia
13.1517;1918;5;Slovenia
13.4266;1918;6;Slovenia
17.2954;1918;7;Slovenia
16.623;1918;8;Slovenia
15.307;1918;9;Slovenia
8.51498;1918;10;Slovenia
2.58326;1918;11;Slovenia
1.44665;1918;12;Slovenia
1.34263;1919;1;Slovenia
-0.3611;1919;2;Slovenia
4.43983;1919;3;Slovenia
6.1664;1919;4;Slovenia
9.71953;1919;5;Slovenia
15.2694;1919;6;Slovenia
15.126;1919;7;Slovenia
17.7367;1919;8;Slovenia
15.4415;1919;9;Slovenia
7.16151;1919;10;Slovenia
2.46954;1919;11;Slovenia
0.36246;1919;12;Slovenia
1.79074;1920;1;Slovenia
2.61685;1920;2;Slovenia
6.19509;1920;3;Slovenia
10.0404;1920;4;Slovenia
15.1868;1920;5;Slovenia
14.9368;1920;6;Slovenia
18.6269;1920;7;Slovenia
16.053;1920;8;Slovenia
14.8811;1920;9;Slovenia
7.74433;1920;10;Slovenia
0.86294;1920;11;Slovenia
0.69539;1920;12;Slovenia
2.4431;1921;1;Slovenia
0.44753;1921;2;Slovenia
5.52137;1921;3;Slovenia
6.97133;1921;4;Slovenia
14.0266;1921;5;Slovenia
14.9966;1921;6;Slovenia
19.7732;1921;7;Slovenia
18.8185;1921;8;Slovenia
14.5608;1921;9;Slovenia
11.0552;1921;10;Slovenia
1.60185;1921;11;Slovenia
-1.3071;1921;12;Slovenia
-2.5686;1922;1;Slovenia
-1.8489;1922;2;Slovenia
5.60771;1922;3;Slovenia
6.90688;1922;4;Slovenia
13.4423;1922;5;Slovenia
16.7089;1922;6;Slovenia
17.9456;1922;7;Slovenia
18.3593;1922;8;Slovenia
12.6078;1922;9;Slovenia
7.13024;1922;10;Slovenia
1.69963;1922;11;Slovenia
0.83596;1922;12;Slovenia
-0.2573;1923;1;Slovenia
0.29982;1923;2;Slovenia
4.44835;1923;3;Slovenia
7.15197;1923;4;Slovenia
13.8971;1923;5;Slovenia
12.6067;1923;6;Slovenia
18.7978;1923;7;Slovenia
18.4004;1923;8;Slovenia
13.8556;1923;9;Slovenia
12.0911;1923;10;Slovenia
5.26565;1923;11;Slovenia
-0.5501;1923;12;Slovenia
-3.2078;1924;1;Slovenia
-2.0037;1924;2;Slovenia
2.63115;1924;3;Slovenia
7.79485;1924;4;Slovenia
14.328;1924;5;Slovenia
16.0958;1924;6;Slovenia
17.5809;1924;7;Slovenia
15.1278;1924;8;Slovenia
15.1149;1924;9;Slovenia
9.28521;1924;10;Slovenia
3.24919;1924;11;Slovenia
0.23658;1924;12;Slovenia
0.10804;1925;1;Slovenia
3.27206;1925;2;Slovenia
2.15111;1925;3;Slovenia
8.3944;1925;4;Slovenia
13.1627;1925;5;Slovenia
15.3112;1925;6;Slovenia
17.6262;1925;7;Slovenia
17.2795;1925;8;Slovenia
12.1872;1925;9;Slovenia
9.68741;1925;10;Slovenia
3.72562;1925;11;Slovenia
-2.0386;1925;12;Slovenia
-1.9818;1926;1;Slovenia
4.28656;1926;2;Slovenia
3.71659;1926;3;Slovenia
9.40283;1926;4;Slovenia
11.4141;1926;5;Slovenia
13.8109;1926;6;Slovenia
16.4211;1926;7;Slovenia
16.4796;1926;8;Slovenia
15.5292;1926;9;Slovenia
10.2343;1926;10;Slovenia
8.79835;1926;11;Slovenia
-0.5569;1926;12;Slovenia
-0.1265;1927;1;Slovenia
